HWM ID,Parish,Flood Type,HWM Flood Elevation - NAVD88,Survey Latitude,Survey Longitude,HWM Report Sheet Number
KLAC-01-18,Orleans,Levee - Break,2.6,29.993873,-90.100315,Orleans-1
KLAC-01-19,Orleans,Levee - Break,2.6,29.993859,-90.117045,Orleans-2
KLAC-01-20,Orleans,Levee - Break,0.7,29.986634,-90.102085,Orleans-3
KLAC-01-21,Orleans,Levee - Break,2.4,29.986863,-90.087302,Orleans-4
KLAC-01-22,Orleans,Levee - Break,2.1,29.991654,-90.084224,Orleans-5
KLAC-01-23,Orleans,Levee - Break,2.4,29.972796,-90.091926,Orleans-6
KLAC-01-24,Orleans,Levee - Break,1.8,29.991871,-90.076471,Orleans-7
KLAC-01-25,Orleans,Levee - Break,2.8,29.978922,-90.067231,Orleans-8
KLAC-01-26,Orleans,Levee - Break,2.4,29.968307,-90.066752,Orleans-9
KLAC-01-27,Orleans,Levee - Break,2.4,29.979253,-90.075412,Orleans-10
KLAC-01-28,Orleans,Levee - Break,2.7,29.987004,-90.082823,Orleans-11
KLAC-01-29,Orleans,Levee - Break,3.1,29.984352,-90.122208,Orleans-12
KLAC-01-30,Orleans,Levee - Break,2.5,29.94219,-90.084509,Orleans-13
KLAC-01-31,Orleans,Levee - Break,1.2,29.93639,-90.088888,Orleans-14
KLAC-01-32,Orleans,Levee - Break,2.6,29.927393,-90.094766,Orleans-15
KLAC-01-33,Orleans,Levee - Break,2.3,29.942651,-90.07796,Orleans-16
KLAC-01-34,Orleans,Levee - Break,7.2,29.960985,-90.020957,Orleans-17
KLAC-01-35,Orleans,Levee - Break,10.3,29.953198,-90.010822,Orleans-18
KLAC-01-39,Orleans,Levee - Break,7.5,29.962709,-90.013226,Orleans-19
KLAC-01-40,Orleans,Levee - Break,8.7,29.954032,-90.015063,Orleans-20
KLAC-02-10,Orleans,Levee - Break,2.1,29.990358,-90.11005,Orleans-21
KLAC-02-11,Orleans,Levee - Break,1.9,29.985831,-90.110528,Orleans-22
KLAC-02-12,Orleans,Levee - Break,2.9,30.018905,-90.095364,Orleans-23
KLAC-02-13,Orleans,Levee - Break,1.6,30.01902,-90.097882,Orleans-24
KLAC-02-14,Orleans,Levee - Break,1.4,30.023763,-90.097788,Orleans-25
KLAC-02-15,Orleans,Levee - Break,2.2,30.021567,-90.112928,Orleans-26
KLAC-02-16,Orleans,Coastal - Wave Runup,10.7,30.023155,-90.113175,Orleans-27
KLAC-02-17,Orleans,Coastal - Wave Runup,14.5,30.026717,-90.108023,Orleans-28
KLAC-02-18,Orleans,Coastal - Wave Runup,12.9,30.027252,-90.098456,Orleans-29
KLAC-02-19,Orleans,Levee - Break,2.3,-90.111054,,Orleans-30
KLAC-02-20,Orleans,Levee - Break,1.8,30.021737,-90.099432,Orleans-31
KLAC-02-21,Orleans,Levee - Break,1.7,30.019575,-90.098801,Orleans-32
KLAC-02-22,Orleans,Coastal Wave Runup,12.6,30.027855,-90.089186,Orleans-33
KLAC-02-23,Orleans,Levee - Break,2.2,29.94129,-90.123572,Orleans-34
KLAC-02-24,Orleans,Levee - Break,1.5,29.933939,-90.112644,Orleans-35
KLAC-02-25,Orleans,Levee - Break,2.1,29.935016,-90.096632,Orleans-36
KLAC-02-26,Orleans,Levee - Break,1.4,29.927913,-90.096958,Orleans-37
KLAC-02-27,Orleans,Levee - Break,2.5,29.93878,-90.109033,Orleans-38
KLAC-02-28,Orleans,Levee - Break,2.5,29.933777,-90.102596,Orleans-39
KLAC-03-11,Orleans,Levee - Break,2.4,29.991046,-90.109842,Orleans-40
KLAC-03-12,Orleans,Levee - Break,2.4,29.982494,-90.109802,Orleans-41
KLAC-03-14,Orleans,Levee - Break,2.4,30.020426,-90.104834,Orleans-42
KLAC-03-15,Orleans,Levee - Break,2.2,30.023225,-90.101497,Orleans-43
KLAC-03-16,Orleans,Levee - Break,2.8,29.999931,-90.089522,Orleans-44
KLAC-03-17,Orleans,Levee - Break,2.3,30.004097,-90.098971,Orleans-45
KLAC-03-18,Orleans,Levee - Break,2.6,29.994576,-90.100559,Orleans-46
\KLAC-03-19,Orleans,Levee - Break,1.4,30.020791,-90.08381,Orleans-47
KLAC-03-20,Orleans,Levee - Break,2.1,30.024105,-90.083555,Orleans-48
KLAC-03-21,Orleans,Levee - Break,2.6,29.943609,-90.097165,Orleans-49
KLAC-03-22,Orleans,Levee - Break,2.5,29.94463,-90.103927,Orleans-50
KLAC-03-23,Orleans,Levee - Break,1.5,29.941178,-90.107024,Orleans-51
KLAC-03-25,Orleans,Levee - Break,2.4,29.945435,-90.12432,Orleans-52
KLAC-04-16,Orleans,Levee - Break,1.3,30.027518,-90.054973,Orleans-53
KLAC-04-18,Orleans,Coastal - Wave Runup,16.6,30.033719,-90.041892,Orleans-54
KLAC-04-19,Orleans,Levee - Break,2.3,29.987848,-90.067639,Orleans-55
KLAC-04-20,Orleans,Levee - Break,2.5,29.97066,-90.077545,Orleans-56
KLAC-04-21,Orleans,Levee - Break,1.5,29.982684,-90.090947,Orleans-57
KLAC-04-22,Orleans,Levee - Break,2.4,29.975356,-90.08398,Orleans-58
KLAC-04-23,Orleans,Levee - Break,3,29.936543,-90.092225,Orleans-59
KLAC-04-24,Orleans,Levee - Break,1.8,29.942776,-90.093619,Orleans-60
KLAC-04-25,Orleans,Levee - Break,1,29.932419,-90.087119,Orleans-61
KLAC-04-26,Orleans,Levee - Break,1.7,29.936553,-90.081185,Orleans-62
KLAC-05-19,Orleans,Levee - Break,2.8,29.995878,-90.078121,Orleans-63
KLAC-05-20,Orleans,Levee - Break,2.6,30.001183,-90.081248,Orleans-64
KLAC-05-21,Orleans,Levee - Break,1.5,30.007019,-90.082341,Orleans-65
KLAC-05-22,Orleans,Levee - Break,2.8,30.012504,-90.07696,Orleans-66
KLAC-05-23,Orleans,Levee - Break,1.4,30.016459,-90.07517,Orleans-67
KLAC-05-24,Orleans,Levee - Break,2.9,30.007128,-90.070245,Orleans-68
KLAC-05-25,Orleans,Levee - Break,2.8,30.000777,-90.072038,Orleans-69
KLAC-05-26,Orleans,Levee - Break,2.7,29.995359,-90.068977,Orleans-70
KLAC-05-27,Orleans,Levee - Break,3,29.998317,-90.064052,Orleans-71
KLAC-05-28,Orleans,Levee - Break,1.9,30.000915,-90.064341,Orleans-72
KLAC-05-30,Orleans,Coastal - Wave Runup,15.3,30.031421,-90.038513,Orleans-73
KLAC-05-31,Orleans,Levee - Break,-1.3,30.029053,-89.992436,Orleans-74
KLAC-05-32,Orleans,Levee - Break,-1.3,30.02746,-90.000252,Orleans-75
KLAC-05-33,Orleans,Levee - Break,-1.4,30.032334,-89.973003,Orleans-76
KLAC-05-34,Orleans,Levee - Break,-1.6,30.033226,-89.968415,Orleans-77
KLAC-05-35,Orleans,Levee - Break,-1.4,30.040248,-89.961665,Orleans-78
KLAC-05-36,Orleans,Levee - Break,-1.4,30.033504,-89.951188,Orleans-79
KLAC-05-37,Orleans,Levee - Break,-1.1,30.041876,-89.95063,Orleans-80
KLAC-06-25,Orleans,Levee - Break,-1.4,30.033022,-90.025296,Orleans-81
KLAC-06-26,Orleans,Levee - Break,0.7,30.036767,-90.014753,Orleans-82
KLAC-06-27,Orleans,Coastal - Surge Only,12,30.036884,-90.014808,Orleans-83
KLAC-06-28,Orleans,Levee - Break,-1.4,30.043497,-89.995622,Orleans-84
KLAC-06-29,Orleans,Levee - Break,-1.6,30.049428,-89.983252,Orleans-85
KLAC-06-30,Orleans,Levee - Break,-1.6,30.056162,-89.970125,Orleans-86
KLAC-06-31,Orleans,Levee - Break,-1.9,30.065669,-89.955639,Orleans-87
KLAC-06-32,Orleans,Levee - Break,0.3,30.074338,-89.944923,Orleans-88
KLAC-06-33,Orleans,Levee - Break,-2.2,30.056748,-89.945215,Orleans-89
KLAC-06-34,Orleans,Levee - Break,-1.5,30.048059,-89.959128,Orleans-90
KLAC-06-35,Orleans,Levee - Break,-1.5,30.038429,-89.977054,Orleans-91
KLAC-06-36,Orleans,Levee - Break,-1.5,30.031377,-89.994363,Orleans-92
KLAC-06-37,Orleans,Levee - Break,-1.4,30.02766,-90.015203,Orleans-93
KLAC-06-38,Orleans,Levee - Break,-1.6,30.017828,-89.98284,Orleans-94
KLAC-06-49,Orleans,Levee - Break,2.8,30.014536,-89.999017,Orleans-95
KLAC-06-50,Orleans,Levee - Break,-1.4,30.021934,-89.959512,Orleans-96
KLAC-06-51,Orleans,Levee - Break,2.5,30.008423,-89.992803,Orleans-97
KLAC-06-52,Orleans,Levee - Break,2,30.018307,-89.930539,Orleans-98
KLAC-07-33,Orleans,Levee - Break,2.7,29.966548,-90.038379,Orleans-99
KLAC-07-34,Orleans,Levee - Break,2.7,29.968528,-90.048521,Orleans-100
KLAC-07-35,Orleans,Levee - Break,2.7,29.970246,-90.057182,Orleans-101
KLAC-07-36,Orleans,Levee - Break,2.6,29.976899,-90.05716,Orleans-102
KLAC-07-37,Orleans,Levee - Break,1.4,29.982597,-90.057495,Orleans-103
KLAC-07-38,Orleans,Levee - Break,3.4,29.990477,-90.057982,Orleans-104
KLAC-07-39,Orleans,Levee - Break,2.6,29.980149,-90.048693,Orleans-105
KLAC-07-40,Orleans,Levee - Break,3.2,29.989839,-90.049453,Orleans-106
KLAC-07-41,Orleans,Levee - Break,2.6,29.974059,-90.049001,Orleans-107
KLAC-07-42,Orleans,Levee - Break,2.8,29.971987,-90.038794,Orleans-108
KLAC-07-43,Orleans,Levee - Break,2.6,29.969304,-90.029645,Orleans-109
KLAC-07-44,Orleans,Levee - Break,2.6,29.964977,-90.029156,Orleans-110
KLAC-07-45,Orleans,Levee - Break,1.9,29.978703,-90.029617,Orleans-111
KLAC-07-46,Orleans,Levee - Break,2.6,29.979128,-90.036583,Orleans-112
KLAC-07-47,Orleans,Levee - Break,3,29.965862,-90.041988,Orleans-113
KLAC-07-48,Orleans,Levee - Break,3,29.967949,-90.057066,Orleans-114
KLAC-07-49,Orleans,Levee - Break,2.7,29.94674,-90.07496,Orleans-115
KLAC-07-50,Orleans,Levee - Break,2,29.950163,-90.087857,Orleans-116
KLAC-07-51,Orleans,Levee - Break,2.6,29.962029,-90.09445,Orleans-117
KLAC-07-52,Orleans,Levee - Break,2.4,29.955977,-90.09587,Orleans-118
KLAC-07-53,Orleans,Levee - Break,2.7,29.948563,-90.094213,Orleans-119
KLAC-07-54,Orleans,Levee - Break,2.5,29.955683,-90.073097,Orleans-120
KLAC-07-55,Orleans,Levee - Break,2.6,29.950951,-90.075724,Orleans-121
KLAC-07-56,Orleans,Levee - Break,2.8,29.955626,-90.086697,Orleans-122
KLAC-07-57,Orleans,Levee - Break,2.5,29.961796,-90.082197,Orleans-123
KLAC-07-58,Orleans,Levee - Break,2.5,29.957368,-90.069406,Orleans-124
KLAC-08-19,Orleans,Levee - Break,-1.4,30.026014,-90.025569,Orleans-125
KLAC-08-20,Orleans,Levee - Break,-1.4,30.028813,-90.014087,Orleans-126
KLAC-08-21,Orleans,Levee - Break,-2,30.033235,-90.003006,Orleans-127
KLAC-08-22,Orleans,Levee - Break,-3.8,30.062793,-89.948767,Orleans-128
KLAC-08-23,Orleans,Levee - Break,-1.8,30.068128,-89.940925,Orleans-129
KLAC-08-24,Orleans,Levee - Break,-2,30.038939,-89.988281,Orleans-130
KLAC-08-25,Orleans,Levee - Break,-1.5,30.046632,-89.972388,Orleans-131
KLAC-08-26,Orleans,Levee - Break,-1.5,30.058282,-89.955038,Orleans-132
KLAC-08-27,Orleans,Levee - Break,-1.5,30.017604,-90.021657,Orleans-133
KLAC-09-02,Orleans,Levee - Break,1.9,30.025492,-90.056868,Orleans-134
KLAC-09-03,Orleans,Levee - Break,1.4,30.021333,-90.075571,Orleans-135
KLAC-09-04,Orleans,Levee - Break,1.4,30.019022,-90.08994,Orleans-136
KLAC-09-05,Orleans,Levee - Break,2.8,30.003373,-90.095982,Orleans-137
KLAC-09-06,Orleans,Levee - Break,1.9,30.002844,-90.054981,Orleans-138
KLAC-09-07,Orleans,Levee - Break,1.4,30.008381,-90.055428,Orleans-139
KLAC-09-08,Orleans,Levee - Break,1.8,30.002958,-90.046459,Orleans-140
KLAC-09-09,Orleans,Levee - Break,1.7,30.010685,-90.047117,Orleans-141
KLAC-09-10,Orleans,Levee - Break,1.7,29.99718,-90.054532,Orleans-142
KLAC-09-11,Orleans,Levee - Break,1.4,29.993101,-90.039379,Orleans-143
KLAC-09-12,Orleans,Levee - Break,2.4,29.967512,-90.111703,Orleans-144
KLAC-09-13,Orleans,Levee - Break,1.8,29.967078,-90.119451,Orleans-145
KLAC-09-14,Orleans,Levee - Break,2,29.966981,-90.127291,Orleans-146
KLAC-09-15,Orleans,Levee - Break,2.6,29.960412,-90.119374,Orleans-147
KLAC-09-16,Orleans,Levee - Break,2.2,29.961058,-90.111858,Orleans-148
KLAC-09-17,Orleans,Levee - Break,2.5,29.95875,-90.10313,Orleans-149
KLAC-09-18,Orleans,Levee - Break,2,29.954072,-90.103905,Orleans-150
KLAC-09-19,Orleans,Levee - Break,1.4,29.95107,-90.108852,Orleans-151
KLAC-09-20,Orleans,Levee - Break,2.5,29.951726,-90.118797,Orleans-152
KLAC-09-21,Orleans,Levee - Break,1.8,29.953681,-90.127727,Orleans-153
KLAC-09-22,Orleans,Levee - Break,2.7,29.962238,-90.127849,Orleans-154
KLAC-88-03,Orleans,Coastal - Surge Only,15,30.000991,-89.940955,Orleans-155
KLAC-88-06,Orleans,Coastal - Surge Only,11.8,30.029783,-90.091199,Orleans-156
KLAC-88-07,Orleans,Coastal - Surge Only,11.8,30.033801,-90.040233,Orleans-157
KLAC-88-08,Orleans,Coastal Wave Height,13.8,30.057677,-89.969006,Orleans-158
KLAC-88-15,Orleans,Coastal - Wave Height,13,30.057932,-89.968537,Orleans-159
KLAC-88-20,Orleans,Coastal - Surge Only,11.4,30.03679,-90.017013,Orleans-160
KLAC-99-01,Orleans,Coastal - Wave Runup,11.7,30.041787,-90.023215,Orleans-161
KLRL-27-05,Orleans,Levee - Break,11.6,29.960971,-90.026233,Orleans-162